"Invoice","item"
13122,"frankfurter"
13123,"yogurt"
13124,"ice cream"
13125,"tropical fruit"
13126,"pasta"
13127,"root vegetables"
13128,"soda"
13130,"frozen fruits"
13131,"soda"
13132,"soda"
13133,"grapes"
13134,"potted plants"
13135,"specialty chocolate"
13136,"pip fruit"
13137,"fruit/vegetable juice"
13138,"chewing gum"
13139,"frankfurter"
13140,"packaged fruit/vegetables"
13141,"bottled water"
13142,"frankfurter"
13143,"curd"
13144,"soda"
13145,"frankfurter"
13146,"bottled water"
13147,"sausage"
13148,"meat"
13149,"soft cheese"
13150,"dish cleaner"
13151,"domestic eggs"
13152,"waffles"
13153,"yogurt"
13154,"ice cream"
13155,"whole milk"
13156,"sausage"
13157,"curd"
13158,"hygiene articles"
13159,"long life bakery product"
13160,"sausage"
13161,"white wine"
13162,"frankfurter"
13163,"canned fish"
13164,"pastry"
13165,"chewing gum"
13166,"organic sausage"
13167,"chicken"
13168,"waffles"
13169,"coffee"
13170,"specialty bar"
13171,"popcorn"
13172,"whole milk"
13173,"frankfurter"
13174,"whole milk"
13175,"coffee"
13176,"hygiene articles"
13177,"pork"
13178,"dessert"
13179,"pickled vegetables"
13180,"tropical fruit"
13181,"curd"
13183,"pastry"
13184,"sausage"
13185,"root vegetables"
13186,"sliced cheese"
13187,"soda"
13188,"napkins"
13189,"yogurt"
13190,"shopping bags"
13191,"sausage"
13192,"hard cheese"
13193,"napkins"
13194,"citrus fruit"
13195,"soda"
13196,"whole milk"
13198,"frankfurter"
13199,"meat"
13200,"whipped/sour cream"
13201,"cat food"
13202,"dog food"
13203,"pork"
13204,"dessert"
13205,"whole milk"
13206,"chicken"
13207,"flower soil/fertilizer"
13208,"yogurt"
13209,"chicken"
13210,"UHT-milk"
13211,"baking powder"
13212,"butter milk"
13213,"coffee"
13214,"frozen meals"
13215,"salty snack"
13216,"sausage"
13217,"curd"
13218,"white bread"
13219,"pip fruit"
13220,"bottled water"
13221,"tropical fruit"
13222,"prosecco"
13223,"packaged fruit/vegetables"
13224,"citrus fruit"
13225,"frozen vegetables"
13226,"whole milk"
13227,"butter"
13228,"pork"
13231,"bottled beer"
13232,"meat"
13233,"whole milk"
13234,"napkins"
13235,"canned beer"
13236,"tropical fruit"
13237,"tropical fruit"
13238,"frozen meals"
13239,"light bulbs"
13240,"sweet spreads"
13241,"brandy"
13242,"tropical fruit"
13243,"sausage"
13244,"butter milk"
13245,"canned beer"
13246,"coffee"
13247,"pork"
13248,"dish cleaner"
13249,"canned beer"
13250,"rolls/buns"
13251,"pastry"
13252,"misc. beverages"
13253,"misc. beverages"
13254,"frozen dessert"
13255,"meat"
13256,"root vegetables"
13257,"curd"
13258,"rice"
13259,"citrus fruit"
13260,"bottled water"
13261,"rolls/buns"
13262,"canned vegetables"
13263,"canned beer"
13264,"whole milk"
13265,"chicken"
13266,"rolls/buns"
13267,"chocolate"
13268,"whole milk"
13269,"tropical fruit"
13270,"rolls/buns"
13271,"citrus fruit"
13272,"napkins"
13273,"canned beer"
13274,"rolls/buns"
13275,"pip fruit"
13276,"baking powder"
13277,"pork"
13278,"dishes"
13279,"canned beer"
13280,"citrus fruit"
13282,"long life bakery product"
13283,"margarine"
13284,"chicken"
13285,"meat"
13287,"seasonal products"
13288,"root vegetables"
13289,"ham"
13290,"newspapers"
13291,"whipped/sour cream"
13292,"cream cheese"
13293,"citrus fruit"
13294,"pip fruit"
13295,"pastry"
13296,"beef"
13297,"rolls/buns"
13298,"yogurt"
13299,"fruit/vegetable juice"
13300,"sausage"
13301,"processed cheese"
13302,"domestic eggs"
13303,"sausage"
13304,"tropical fruit"
13306,"yogurt"
13307,"bottled water"
13308,"newspapers"
13309,"canned beer"
13310,"tropical fruit"
13311,"domestic eggs"
13312,"meat spreads"
13313,"curd"
13314,"pip fruit"
13315,"beverages"
13316,"soda"
13317,"newspapers"
13318,"frankfurter"
13319,"root vegetables"
13320,"tropical fruit"
13321,"napkins"
13322,"pork"
13323,"brown bread"
13324,"chicken"
13325,"chicken"
13326,"cat food"
13327,"rolls/buns"
13328,"semi-finished bread"
13329,"sausage"
13330,"brown bread"
13331,"hygiene articles"
13332,"sausage"
13333,"specialty chocolate"
13334,"shopping bags"
13335,"condensed milk"
13336,"yogurt"
13337,"frankfurter"
13339,"bottled beer"
13340,"turkey"
13341,"butter"
13342,"beef"
13343,"rolls/buns"
13344,"rolls/buns"
13345,"whole milk"
13346,"berries"
13347,"whipped/sour cream"
13348,"flower (seeds)"
13349,"citrus fruit"
13350,"meat"
13351,"brown bread"
13352,"pip fruit"
13353,"shopping bags"
13354,"grapes"
13355,"canned beer"
13356,"sausage"
13357,"seasonal products"
13358,"chicken"
13359,"sausage"
13360,"rolls/buns"
13361,"liver loaf"
13362,"rolls/buns"
13363,"root vegetables"
13364,"sliced cheese"
13365,"pork"
13366,"tropical fruit"
13367,"spread cheese"
13368,"spread cheese"
13369,"sausage"
13371,"hamburger meat"
13372,"bottled water"
13373,"cake bar"
13374,"frankfurter"
13375,"frozen potato products"
13376,"soda"
13377,"whole milk"
13378,"pip fruit"
13379,"whole milk"
13380,"beef"
13381,"dessert"
13382,"napkins"
13383,"sausage"
13384,"pork"
13385,"white bread"
13386,"napkins"
13387,"sausage"
13388,"hard cheese"
13389,"canned vegetables"
13390,"newspapers"
13391,"napkins"
13392,"hamburger meat"
13393,"yogurt"
13394,"meat"
13395,"cling film/bags"
13396,"sausage"
13397,"brandy"
13398,"shopping bags"
13399,"pastry"
13400,"liver loaf"
13401,"rolls/buns"
13402,"dishes"
13404,"pork"
13405,"whole milk"
13406,"coffee"
13407,"pork"
13409,"processed cheese"
13410,"semi-finished bread"
13411,"Instant food products"
13412,"snack products"
13413,"beverages"
13414,"beef"
13415,"specialty chocolate"
13416,"pip fruit"
13417,"berries"
13418,"soda"
13419,"frozen meals"
13420,"tropical fruit"
13421,"cream cheese"
13422,"fruit/vegetable juice"
13423,"newspapers"
13424,"chicken"
13425,"chewing gum"
13426,"kitchen towels"
13427,"whole milk"
13428,"shopping bags"
13429,"butter"
13430,"pip fruit"
13431,"frankfurter"
13432,"pickled vegetables"
13434,"beef"
13435,"turkey"
13436,"onions"
13437,"spices"
13438,"processed cheese"
13439,"tropical fruit"
13440,"whole milk"
13441,"roll products"
13442,"sausage"
13443,"rolls/buns"
13444,"beef"
13445,"pastry"
13446,"rolls/buns"
13447,"hamburger meat"
13448,"shopping bags"
13449,"turkey"
13451,"processed cheese"
13452,"long life bakery product"
13453,"specialty chocolate"
13454,"frankfurter"
13456,"bottled water"
13457,"beef"
13458,"berries"
13459,"soda"
13460,"kitchen utensil"
13461,"soda"
13462,"whole milk"
13463,"chicken"
13464,"coffee"
13465,"whole milk"
13466,"bottled water"
13467,"newspapers"
13468,"brown bread"
13469,"frankfurter"
13470,"yogurt"
13471,"rolls/buns"
13472,"frankfurter"
13473,"soda"
13474,"pip fruit"
13475,"curd"
13476,"house keeping products"
13477,"sausage"
13478,"whole milk"
13479,"fruit/vegetable juice"
13480,"hygiene articles"
13481,"frankfurter"
13482,"curd"
13483,"pickled vegetables"
13484,"citrus fruit"
13485,"salt"
13486,"tropical fruit"
13487,"misc. beverages"
13488,"chicken"
13489,"bottled water"
13490,"ham"
13491,"processed cheese"
13492,"female sanitary products"
13493,"canned beer"
13494,"grapes"
13495,"hamburger meat"
13496,"whipped/sour cream"
13497,"curd"
13498,"rolls/buns"
13499,"waffles"
13500,"beef"
13501,"beef"
13502,"butter"
13503,"sausage"
13504,"fruit/vegetable juice"
13505,"frankfurter"
13506,"pip fruit"
13507,"brown bread"
13508,"chocolate"
13509,"UHT-milk"
13510,"sausage"
13511,"cling film/bags"
13512,"cream cheese"
13513,"bottled beer"
13514,"rolls/buns"
13515,"rolls/buns"
13516,"finished products"
13517,"cake bar"
13518,"sausage"
13519,"root vegetables"
13520,"butter milk"
13521,"specialty cheese"
13522,"candy"
13523,"tropical fruit"
13524,"salty snack"
13525,"beef"
13526,"curd"
13527,"dish cleaner"
13528,"sausage"
13529,"shopping bags"
13530,"ham"
13531,"chocolate marshmallow"
13532,"grapes"
13533,"whole milk"
13534,"beef"
13535,"canned fish"
13536,"whole milk"
13537,"chicken"
13538,"soft cheese"
13539,"rolls/buns"
13540,"liver loaf"
13541,"frankfurter"
13542,"pickled vegetables"
13543,"citrus fruit"
13544,"butter"
13545,"spread cheese"
13546,"turkey"
13547,"margarine"
13548,"canned beer"
13549,"sausage"
13550,"hard cheese"
13551,"newspapers"
13552,"beverages"
13553,"chocolate marshmallow"
13554,"mayonnaise"
13555,"soda"
13556,"rolls/buns"
13557,"chicken"
13558,"curd"
13559,"rolls/buns"
13560,"canned beer"
13561,"chicken"
13562,"yogurt"
13563,"fruit/vegetable juice"
13564,"shopping bags"
13565,"whole milk"
13566,"ham"
13567,"rolls/buns"
13568,"whole milk"
13569,"soda"
13570,"shopping bags"
13571,"whole milk"
13572,"organic sausage"
13573,"citrus fruit"
13574,"dessert"
13575,"sugar"
13576,"beef"
13577,"frankfurter"
13578,"pork"
13579,"pastry"
13580,"yogurt"
13581,"canned beer"
13582,"butter"
13583,"yogurt"
13584,"salty snack"
13585,"rolls/buns"
13586,"bottled beer"
13587,"beef"
13588,"meat"
13589,"frozen fish"
13590,"semi-finished bread"
13591,"whole milk"
13592,"detergent"
13593,"chicken"
13594,"meat"
13595,"syrup"
13596,"pastry"
13597,"rolls/buns"
13598,"beverages"
13600,"frankfurter"
13601,"butter milk"
13602,"white bread"
13603,"salty snack"
13604,"pastry"
13605,"specialty chocolate"
13606,"sausage"
13607,"salt"
13608,"citrus fruit"
13609,"sugar"
13610,"bottled beer"
13611,"tropical fruit"
13612,"salty snack"
13613,"whole milk"
13614,"pastry"
13615,"salty snack"
13616,"canned beer"
13617,"chicken"
13618,"bottled beer"
13619,"whole milk"
13620,"potted plants"
13621,"pip fruit"
13622,"chocolate"
13623,"citrus fruit"
13624,"soda"
13625,"soda"
13626,"frozen meals"
13627,"newspapers"
13628,"sausage"
13629,"pip fruit"
13630,"frozen vegetables"
13631,"bottled water"
13632,"specialty bar"
13633,"frozen meals"
13634,"finished products"
13635,"hard cheese"
13636,"waffles"
13637,"tropical fruit"
13638,"whole milk"
13639,"ice cream"
13640,"processed cheese"
13641,"soda"
13642,"newspapers"
13643,"beef"
13644,"yogurt"
13645,"mayonnaise"
13646,"nut snack"
13647,"grapes"
13648,"pip fruit"
13649,"chocolate marshmallow"
13650,"chocolate marshmallow"
13651,"bottled beer"
13652,"pork"
13653,"curd"
13654,"popcorn"
13655,"meat"
13656,"sliced cheese"
13657,"kitchen towels"
13659,"brown bread"
13660,"soda"
13661,"tropical fruit"
13662,"chicken"
13663,"candy"
13664,"bottled beer"
13665,"sausage"
13666,"berries"
13667,"butter milk"
13668,"yogurt"
13669,"shopping bags"
13670,"frankfurter"
13671,"dessert"
13672,"baking powder"
13673,"frankfurter"
13674,"soups"
13675,"citrus fruit"
13676,"frankfurter"
13677,"whole milk"
13678,"coffee"
13679,"whipped/sour cream"
13680,"bottled water"
13681,"grapes"
13682,"frankfurter"
13683,"frankfurter"
13684,"root vegetables"
13685,"brown bread"
13686,"frankfurter"
13687,"female sanitary products"
13688,"candy"
13690,"domestic eggs"
13691,"pickled vegetables"
13692,"specialty chocolate"
13693,"beef"
13694,"yogurt"
13695,"cake bar"
13696,"bottled beer"
13697,"frankfurter"
13698,"dessert"
13699,"pasta"
13700,"long life bakery product"
13701,"pork"
13702,"salty snack"
13703,"root vegetables"
13704,"beef"
13705,"shopping bags"
13706,"misc. beverages"
13707,"whole milk"
13709,"beef"
13710,"sausage"
13712,"rolls/buns"
13713,"jam"
13714,"chocolate"
13715,"newspapers"
13716,"frankfurter"
13717,"whole milk"
13718,"long life bakery product"
13719,"sausage"
13720,"dessert"
13721,"seasonal products"
13723,"sausage"
13724,"yogurt"
13726,"frankfurter"
13727,"whole milk"
13728,"margarine"
13729,"chocolate"
13730,"frankfurter"
13731,"root vegetables"
13732,"rolls/buns"
13733,"curd"
13734,"grapes"
13735,"canned beer"
13736,"hamburger meat"
13737,"whole milk"
13738,"brown bread"
13739,"canned fish"
13740,"chocolate"
13741,"citrus fruit"
13742,"whole milk"
13743,"frozen dessert"
13744,"yogurt"
13745,"tropical fruit"
13746,"butter"
13747,"margarine"
13748,"newspapers"
13749,"tropical fruit"
13750,"fruit/vegetable juice"
13751,"hamburger meat"
13752,"newspapers"
13753,"specialty chocolate"
13754,"soda"
13755,"ice cream"
13756,"beef"
13757,"onions"
13758,"frozen meals"
13759,"soda"
13760,"cake bar"
13761,"sausage"
13762,"berries"
13763,"whole milk"
13764,"rolls/buns"
13765,"bottled water"
13766,"yogurt"
13767,"whole milk"
13768,"ice cream"
13769,"frankfurter"
13770,"whole milk"
13771,"detergent"
13772,"hamburger meat"
13773,"frankfurter"
13774,"soda"
13775,"frankfurter"
13776,"onions"
13777,"soda"
13778,"sausage"
13779,"sliced cheese"
13780,"canned beer"
13781,"newspapers"
13782,"pork"
13783,"frozen dessert"
13784,"napkins"
13785,"yogurt"
13786,"ham"
13788,"white bread"
13789,"pickled vegetables"
13790,"napkins"
13792,"sausage"
13793,"beef"
13794,"rice"
13795,"dishes"
13796,"pork"
13797,"beef"
13798,"whole milk"
13799,"chicken"
13800,"whole milk"
13801,"cream cheese"
13802,"pastry"
13803,"waffles"
13804,"yogurt"
13805,"bottled beer"
13806,"salty snack"
13807,"pip fruit"
13808,"sausage"
13809,"whole milk"
13810,"curd"
13811,"fruit/vegetable juice"
13812,"beef"
13813,"soda"
13814,"cooking chocolate"
13815,"salty snack"
13816,"frankfurter"
13817,"bottled beer"
13818,"dessert"
13819,"frankfurter"
13820,"margarine"
13821,"whole milk"
13822,"photo/film"
13823,"pip fruit"
13824,"sausage"
13825,"whipped/sour cream"
13826,"fruit/vegetable juice"
13827,"root vegetables"
13828,"frankfurter"
13829,"yogurt"
13830,"zwieback"
13831,"ham"
13832,"domestic eggs"
13833,"bottled water"
13834,"pip fruit"
13835,"citrus fruit"
13836,"domestic eggs"
13837,"soda"
13838,"sugar"
13839,"hamburger meat"
13840,"whole milk"
13841,"nuts/prunes"
13842,"frankfurter"
13843,"rolls/buns"
13844,"canned beer"
13845,"cling film/bags"
13846,"red/blush wine"
13847,"berries"
13848,"sausage"
13849,"root vegetables"
13850,"roll products"
13851,"soda"
13852,"bathroom cleaner"
13853,"salty snack"
13854,"frankfurter"
13856,"canned beer"
13857,"pork"
13859,"misc. beverages"
13860,"chocolate"
13861,"ice cream"
13862,"chocolate"
13863,"whole milk"
13864,"margarine"
13866,"spread cheese"
13867,"whole milk"
13868,"shopping bags"
13869,"pip fruit"
13870,"butter milk"
13871,"frozen potato products"
13872,"fruit/vegetable juice"
13873,"specialty bar"
13874,"frankfurter"
13875,"pork"
13876,"citrus fruit"
13877,"bottled beer"
13878,"citrus fruit"
13879,"soda"
13880,"hamburger meat"
13881,"sugar"
13882,"whipped/sour cream"
13883,"sausage"
13885,"napkins"
13886,"citrus fruit"
13887,"butter"
13888,"specialty bar"
13889,"rolls/buns"
13890,"sliced cheese"
13891,"canned beer"
13892,"butter milk"
13893,"sausage"
13894,"salty snack"
13896,"bottled beer"
13897,"beef"
13898,"butter"
13899,"bottled water"
13900,"hamburger meat"
13901,"butter"
13902,"whipped/sour cream"
13903,"flour"
13904,"cat food"
13905,"napkins"
13906,"chicken"
13907,"sausage"
13908,"soft cheese"
13909,"sausage"
13910,"salty snack"
13911,"bottled water"
13912,"pastry"
13913,"cat food"
13915,"whipped/sour cream"
13916,"whole milk"
13918,"pastry"
13919,"tropical fruit"
13920,"bottled beer"
13921,"citrus fruit"
13922,"butter milk"
13923,"pork"
13924,"canned beer"
13925,"canned beer"
13926,"frankfurter"
13928,"pastry"
13929,"yogurt"
13930,"sausage"
13931,"cream cheese"
13933,"sausage"
13934,"frankfurter"
13935,"root vegetables"
13936,"semi-finished bread"
13937,"citrus fruit"
13938,"domestic eggs"
13939,"ham"
13940,"waffles"
13941,"soda"
13942,"frankfurter"
13943,"citrus fruit"
13944,"fruit/vegetable juice"
13945,"frozen fish"
13946,"newspapers"
13947,"whole milk"
13948,"ham"
13949,"sausage"
13951,"whipped/sour cream"
13952,"potted plants"
13953,"shopping bags"
13954,"cereals"
13955,"frozen fish"
13956,"whole milk"
13957,"soda"
13958,"soda"
13959,"pastry"
13960,"salty snack"
13961,"frankfurter"
13962,"yogurt"
13963,"soda"
13964,"candy"
13965,"yogurt"
13966,"long life bakery product"
13967,"domestic eggs"
13968,"shopping bags"
13969,"sausage"
13970,"fruit/vegetable juice"
13971,"ham"
13973,"candy"
13974,"tropical fruit"
13975,"whole milk"
13976,"sausage"
13977,"pip fruit"
13978,"curd"
13979,"hard cheese"
13980,"brown bread"
13981,"pet care"
13982,"chocolate"
13983,"house keeping products"
13984,"soda"
13985,"tropical fruit"
13986,"domestic eggs"
13987,"long life bakery product"
13988,"red/blush wine"
13989,"rolls/buns"
13991,"frankfurter"
13992,"chewing gum"
13993,"citrus fruit"
13994,"domestic eggs"
13995,"candy"
13996,"dessert"
13997,"shopping bags"
13998,"tropical fruit"
13999,"bottled water"
14000,"hamburger meat"
14001,"soda"
14002,"chicken"
14003,"frozen vegetables"
14004,"canned beer"
14005,"rolls/buns"
14006,"butter"
14007,"margarine"
14008,"pip fruit"
14009,"whipped/sour cream"
14010,"specialty bar"
14011,"sausage"
14012,"frozen vegetables"
14013,"roll products"
14014,"grapes"
14015,"semi-finished bread"
14016,"domestic eggs"
14017,"newspapers"
14018,"pastry"
14019,"root vegetables"
14020,"whole milk"
14021,"meat"
14022,"canned beer"
14023,"frankfurter"
14024,"UHT-milk"
14025,"grapes"
14026,"candles"
14028,"tropical fruit"
14029,"brown bread"
14030,"chicken"
14031,"domestic eggs"
14032,"soda"
14033,"ham"
14034,"oil"
14035,"popcorn"
14036,"pork"
14038,"pet care"
14039,"frozen vegetables"
14040,"beef"
14041,"waffles"
14042,"pork"
14043,"whole milk"
14044,"sugar"
14045,"dessert"
14046,"pork"
14047,"chicken"
14048,"pip fruit"
14049,"mustard"
14050,"newspapers"
14051,"hamburger meat"
14052,"whipped/sour cream"
14053,"napkins"
14054,"chicken"
14055,"citrus fruit"
14056,"pastry"
14057,"baking powder"
14059,"margarine"
14060,"curd"
14061,"tropical fruit"
14062,"processed cheese"
14063,"rolls/buns"
14064,"meat"
14065,"soda"
14066,"photo/film"
14067,"pet care"
14069,"baking powder"
14070,"citrus fruit"
14071,"candles"
14072,"citrus fruit"
14073,"bottled water"
14074,"rolls/buns"
14075,"canned beer"
14076,"canned beer"
14077,"sugar"
14078,"meat"
14079,"baking powder"
14080,"frankfurter"
14081,"butter milk"
14082,"photo/film"
14083,"dishes"
14084,"pork"
14085,"frankfurter"
14086,"onions"
14087,"soups"
14089,"bottled beer"
14090,"newspapers"
14091,"berries"
14092,"beef"
14093,"margarine"
14094,"whole milk"
14095,"bottled water"
14096,"citrus fruit"
14097,"margarine"
14099,"sugar"
14100,"bottled beer"
14101,"root vegetables"
14102,"soda"
14103,"frankfurter"
14104,"dish cleaner"
14106,"sausage"
14107,"dog food"
14108,"shopping bags"
14109,"yogurt"
14110,"sausage"
14111,"hamburger meat"
14112,"margarine"
14113,"pork"
14114,"soda"
14115,"tropical fruit"
14116,"yogurt"
14117,"rolls/buns"
14118,"tropical fruit"
14119,"sausage"
14120,"berries"
14121,"yogurt"
14122,"hamburger meat"
14123,"specialty cheese"
14124,"pip fruit"
14125,"domestic eggs"
14126,"beef"
14127,"frozen meals"
14128,"candy"
14130,"sparkling wine"
14131,"sausage"
14133,"ham"
14134,"whole milk"
14135,"frozen meals"
14136,"misc. beverages"
14137,"frankfurter"
14138,"meat"
14139,"ham"
14140,"curd"
14141,"detergent"
14142,"citrus fruit"
14143,"beverages"
14144,"bottled water"
14145,"rolls/buns"
14146,"sausage"
14147,"sauces"
14148,"root vegetables"
14149,"ice cream"
14150,"berries"
14151,"pork"
14152,"meat"
14153,"pastry"
14154,"long life bakery product"
14155,"meat"
14156,"grapes"
14157,"frozen vegetables"
14158,"kitchen utensil"
14159,"meat"
14160,"yogurt"
14161,"soda"
14162,"sauces"
14163,"pip fruit"
14164,"root vegetables"
14165,"ham"
14166,"root vegetables"
14167,"hamburger meat"
14168,"whipped/sour cream"
14169,"soups"
14170,"yogurt"
14171,"beef"
14172,"pastry"
14173,"citrus fruit"
14174,"whole milk"
14175,"domestic eggs"
14176,"berries"
14177,"frankfurter"
14178,"tropical fruit"
14179,"dessert"
14180,"white bread"
14181,"citrus fruit"
14182,"onions"
14183,"roll products"
14184,"beef"
14185,"salty snack"
14186,"frankfurter"
14187,"pip fruit"
14188,"rolls/buns"
14189,"brown bread"
14190,"meat"
14191,"rolls/buns"
14192,"citrus fruit"
14193,"bottled water"
14194,"beef"
14195,"soda"
14197,"frozen dessert"
14198,"chicken"
14200,"sausage"
14201,"tropical fruit"
14202,"pastry"
14203,"soda"
14204,"citrus fruit"
14205,"yogurt"
14206,"red/blush wine"
14207,"coffee"
14208,"chicken"
14209,"dessert"
14210,"sugar"
14211,"turkey"
14212,"butter"
14213,"tea"
14214,"cleaner"
14215,"herbs"
14216,"domestic eggs"
14217,"napkins"
14218,"citrus fruit"
14219,"salty snack"
14220,"newspapers"
14221,"citrus fruit"
14222,"yogurt"
14223,"dental care"
14224,"beef"
14225,"sausage"
14226,"soda"
14227,"soda"
14228,"liquor"
14229,"pork"
14230,"newspapers"
14231,"chicken"
14232,"soda"
14233,"pip fruit"
14234,"frozen vegetables"
14235,"beef"
14236,"frankfurter"
14237,"ice cream"
14238,"bottled water"
14239,"canned beer"
14240,"pip fruit"
14241,"pip fruit"
14242,"sausage"
14243,"frozen potato products"
14244,"napkins"
14245,"hamburger meat"
14246,"bottled water"
14247,"sausage"
14248,"white wine"
14249,"beef"
14251,"pastry"
14252,"chicken"
14253,"herbs"
14254,"bottled beer"
14255,"beef"
14256,"margarine"
14257,"butter"
14258,"rolls/buns"
14259,"newspapers"
14260,"root vegetables"
14261,"beef"
14262,"salt"
14263,"whipped/sour cream"
14264,"shopping bags"
14265,"butter"
14266,"root vegetables"
14267,"sugar"
14268,"tropical fruit"
14269,"bottled beer"
14270,"hamburger meat"
14271,"domestic eggs"
14272,"pork"
14273,"herbs"
14274,"brown bread"
14275,"liquor"
14276,"beef"
14277,"rolls/buns"
14278,"grapes"
14279,"canned beer"
14280,"flower (seeds)"
14281,"frankfurter"
14282,"berries"
14283,"whipped/sour cream"
14284,"house keeping products"
14285,"pork"
14286,"root vegetables"
14287,"butter"
14288,"newspapers"
14289,"meat"
14290,"chocolate"
14291,"sausage"
14292,"root vegetables"
14293,"whipped/sour cream"
14294,"shopping bags"
14295,"root vegetables"
14296,"sausage"
14297,"canned beer"
14298,"citrus fruit"
14300,"fruit/vegetable juice"
14301,"frankfurter"
14302,"pastry"
14303,"chocolate"
14304,"sausage"
14305,"brown bread"
14306,"pork"
14307,"cream cheese"
14308,"sausage"
14309,"whole milk"
14310,"frozen vegetables"
14311,"citrus fruit"
14312,"whole milk"
14313,"domestic eggs"
14314,"tropical fruit"
14315,"whole milk"
14316,"baking powder"
14318,"rolls/buns"
14320,"sugar"
14321,"sausage"
14322,"root vegetables"
14323,"rolls/buns"
14324,"pastry"
14325,"bottled water"
14327,"hard cheese"
14328,"sugar"
14329,"salty snack"
14330,"tropical fruit"
14331,"misc. beverages"
14332,"frankfurter"
14333,"frozen potato products"
14334,"soda"
14335,"long life bakery product"
14336,"pastry"
14337,"citrus fruit"
14338,"meat"
14340,"rolls/buns"
14341,"photo/film"
14342,"ice cream"
14343,"soda"
14344,"whole milk"
14345,"newspapers"
14346,"soda"
14347,"canned beer"
14348,"roll products"
14349,"tropical fruit"
14350,"yogurt"
14352,"cereals"
14354,"sugar"
14355,"salty snack"
14356,"chicken"
14357,"chicken"
14358,"meat"
14359,"whole milk"
14360,"roll products"
14361,"detergent"
14362,"rolls/buns"
14363,"root vegetables"
14364,"whipped/sour cream"
14365,"margarine"
14366,"newspapers"
14367,"ham"
14368,"soft cheese"
14369,"sausage"
14370,"bottled beer"
14371,"specialty cheese"
14372,"seasonal products"
14373,"newspapers"
14374,"sausage"
14375,"cream"
14376,"flower (seeds)"
14377,"rolls/buns"
14378,"whole milk"
14379,"sausage"
14380,"fruit/vegetable juice"
14381,"ice cream"
14382,"chicken"
14383,"soda"
14384,"shopping bags"
14385,"bottled water"
14386,"root vegetables"
14387,"sausage"
14389,"shopping bags"
14390,"chicken"
14391,"ham"
14392,"root vegetables"
14393,"fruit/vegetable juice"
14394,"tropical fruit"
14395,"brown bread"
14396,"soda"
14397,"house keeping products"
14398,"rolls/buns"
14400,"sausage"
14401,"hamburger meat"
14403,"sliced cheese"
14404,"bottled water"
14405,"chocolate"
14406,"berries"
14407,"frankfurter"
14408,"yogurt"
14409,"bottled water"
14410,"chocolate"
14411,"bottled water"
14412,"berries"
14413,"pastry"
14414,"seasonal products"
14415,"citrus fruit"
14416,"rolls/buns"
14417,"chicken"
14418,"butter"
14419,"pastry"
14420,"detergent"
14421,"sausage"
14422,"yogurt"
14423,"napkins"
14424,"fruit/vegetable juice"
14425,"beverages"
14426,"UHT-milk"
14427,"turkey"
14428,"whole milk"
14429,"dog food"
14430,"white wine"
14432,"rolls/buns"
14434,"sausage"
14435,"liver loaf"
14436,"butter milk"
14437,"pip fruit"
14438,"rolls/buns"
14439,"frankfurter"
14440,"frankfurter"
14441,"whole milk"
14442,"frankfurter"
14443,"dessert"
14445,"oil"
14446,"red/blush wine"
14447,"rolls/buns"
14448,"tropical fruit"
14449,"root vegetables"
14450,"yogurt"
14451,"sausage"
14452,"whole milk"
14453,"cat food"
14454,"ham"
14455,"yogurt"
14456,"domestic eggs"
14457,"tropical fruit"
14458,"root vegetables"
14459,"chicken"
14460,"packaged fruit/vegetables"
14461,"pasta"
14462,"pork"
14463,"pickled vegetables"
14464,"coffee"
14465,"seasonal products"
14466,"waffles"
14467,"butter"
14468,"sausage"
14470,"house keeping products"
14471,"liver loaf"
14472,"specialty chocolate"
14473,"citrus fruit"
14474,"processed cheese"
14475,"napkins"
14476,"hamburger meat"
14477,"sweet spreads"
14478,"sausage"
14480,"citrus fruit"
14481,"sausage"
14483,"white wine"
14484,"ham"
14485,"tropical fruit"
14486,"napkins"
14487,"whole milk"
14488,"brown bread"
14489,"sausage"
14490,"newspapers"
14491,"hamburger meat"
14492,"citrus fruit"
14493,"beverages"
14494,"frozen meals"
14495,"beef"
14496,"sausage"
14497,"sausage"
14498,"yogurt"
14499,"rolls/buns"
14500,"newspapers"
14501,"hamburger meat"
14502,"grapes"
14503,"meat"
14505,"pork"
14506,"cream cheese"
14507,"tropical fruit"
14508,"shopping bags"
14509,"pip fruit"
14510,"brown bread"
14511,"waffles"
14512,"whole milk"
14513,"whole milk"
14514,"root vegetables"
14516,"pork"
14517,"yogurt"
14518,"pet care"
14519,"bottled water"
14520,"yogurt"
14521,"UHT-milk"
14522,"canned beer"
14523,"bottled water"
14524,"citrus fruit"
14525,"UHT-milk"
14526,"whole milk"
14527,"chicken"
14528,"root vegetables"
14529,"pastry"
14530,"soda"
14531,"citrus fruit"
14532,"pork"
14533,"sausage"
14534,"frozen meals"
14535,"salty snack"
14536,"citrus fruit"
14537,"soda"
14538,"beef"
14539,"berries"
14540,"beverages"
14541,"shopping bags"
14542,"chicken"
14543,"napkins"
14544,"coffee"
14545,"root vegetables"
14546,"domestic eggs"
14547,"bottled beer"
14549,"pastry"
14550,"soda"
14551,"canned beer"
14552,"bottled beer"
14553,"bottled beer"
14554,"hamburger meat"
14555,"canned vegetables"
14556,"frankfurter"
14557,"butter"
14558,"root vegetables"
14559,"margarine"
14560,"soda"
